@relation 'TCED'
@attribute textid NUMERIC
@attribute emomax NUMERIC
@attribute emomin NUMERIC
@attribute meanang NUMERIC
@attribute meanant NUMERIC
@attribute meandis NUMERIC
@attribute meanfea NUMERIC
@attribute meanjoy NUMERIC
@attribute meansad NUMERIC
@attribute meansup NUMERIC
@attribute meantru NUMERIC
@attribute meanpos NUMERIC
@attribute meanneg NUMERIC
@attribute emomax1 NUMERIC
@attribute emomin1 NUMERIC
@attribute meanang1 NUMERIC
@attribute meanant1 NUMERIC
@attribute meandis1 NUMERIC
@attribute meanfea1 NUMERIC
@attribute meanjoy1 NUMERIC
@attribute meansad1 NUMERIC
@attribute meansup1 NUMERIC
@attribute meantru1 NUMERIC
@attribute meanpos1 NUMERIC
@attribute meanneg1 NUMERIC
@attribute emomax2 NUMERIC
@attribute emomin2 NUMERIC
@attribute meanang2 NUMERIC
@attribute meanant2 NUMERIC
@attribute meandis2 NUMERIC
@attribute meanfea2 NUMERIC
@attribute meanjoy2 NUMERIC
@attribute meansad2 NUMERIC
@attribute meansup2 NUMERIC
@attribute meantru2 NUMERIC
@attribute meanpos2 NUMERIC
@attribute meanneg2 NUMERIC
@attribute emomax3 NUMERIC
@attribute emomin3 NUMERIC
@attribute meanang3 NUMERIC
@attribute meanant3 NUMERIC
@attribute meandis3 NUMERIC
@attribute meanfea3 NUMERIC
@attribute meanjoy3 NUMERIC
@attribute meansad3 NUMERIC
@attribute meansup3 NUMERIC
@attribute meantru3 NUMERIC
@attribute meanpos3 NUMERIC
@attribute meanneg3 NUMERIC

@attribute emomax12 NUMERIC
@attribute emomin12 NUMERIC
@attribute meanang12 NUMERIC
@attribute meanant12 NUMERIC
@attribute meandis12 NUMERIC
@attribute meanfea12 NUMERIC
@attribute meanjoy12 NUMERIC
@attribute meansad12 NUMERIC
@attribute meansup12 NUMERIC
@attribute meantru12 NUMERIC
@attribute meanpos12 NUMERIC
@attribute meanneg12 NUMERIC

@attribute emomax13 NUMERIC
@attribute emomin13 NUMERIC
@attribute meanang13 NUMERIC
@attribute meanant13 NUMERIC
@attribute meandis13 NUMERIC
@attribute meanfea13 NUMERIC
@attribute meanjoy13 NUMERIC
@attribute meansad13 NUMERIC
@attribute meansup13 NUMERIC
@attribute meantru13 NUMERIC
@attribute meanpos13 NUMERIC
@attribute meanneg13 NUMERIC

@attribute emomax23 NUMERIC
@attribute emomin23 NUMERIC
@attribute meanang23 NUMERIC
@attribute meanant23 NUMERIC
@attribute meandis23 NUMERIC
@attribute meanfea23 NUMERIC
@attribute meanjoy23 NUMERIC
@attribute meansad23 NUMERIC
@attribute meansup23 NUMERIC
@attribute meantru23 NUMERIC
@attribute meanpos23 NUMERIC
@attribute meanneg23 NUMERIC
@attribute revised {0, 1}
@data
1,0.142857,0,0.0332326,0.0191296,0.00709095,0.00942132,0.00605741,0.0101195,0.0133743,0.0131227,0.00600763,0.0101936,0.102564,0,0.00391273,0.00409785,0.00063857,0.000695636,0,0.00063857,0.00289896,0.00526369,0.00108066,0.00200036,0.125,0,0.00521999,0.00188763,0.000862069,0.00130753,0.000431034,0.00363985,0.000841544,0.0014566,0.000431034,0.00100504,0.142857,0,0.00989346,0.00454898,0.00276516,0.00320467,0.00172364,0.00283376,0.00418223,0.00261045,0.000862069,0.00371308,0.820513,0,0.749567,2.17089,0.740741,0.532025,0,0.175439,3.44481,3.61369,2.50712,1.99033,0.717949,0,0.395487,0.900827,0.230934,0.21707,0,0.225343,0.693161,2.0164,1.25356,0.538734,0.875,0,0.52762,0.414957,0.311761,0.408007,0.250072,1.28446,0.201219,0.557989,0.5,0.270676,1
2,0.428571,0,0.0340176,0.0294592,0.0136311,0.0264079,0.0101893,0.0200394,0.0194777,0.0184735,0.00678818,0.0117475,0.0833333,0,0.0058729,0.00253512,0.00124784,0.0047813,0.00124784,0.00104917,0.00502602,0.0020223,0.000261643,0.00180671,0.105263,0,0.00244921,0.00255145,0.000801282,0.0010754,0.000400641,0.000474834,0.00149954,0.00147605,0,0.00197438,0.105263,0,0.00556261,0.00452711,0.00235022,0.00261017,0.0014555,0.00360579,0.00179975,0.00207091,0.000246548,0.000887574,0.791667,0,2.39788,0.9936,1.5573,4.44605,3.1146,2.20956,3.3517,1.37008,0,0.91508,0.791667,0,1.05578,0.559987,0.530944,1.8318,0.857325,0.290968,2.79261,0.976527,1.06122,2.03556,1,0,0.440299,0.563594,0.340939,0.412006,0.27526,0.131686,0.833193,0.712752,0,2.22446,1
3,0.5,0,0.0331947,0.0310496,0.0129758,0.0212374,0.00761695,0.0283799,0.0159519,0.0112795,0.0113331,0.0145215,0.333333,0,0.00213791,0.00229241,0.000073692,0.00178372,0.000314608,0.0021199,0.000334448,0.000555524,0.000334448,0.00113898,0.166667,0,0.000569358,0.00164464,0,0.000388199,0,0.000436914,0,0.000483092,0.000181159,0.000641822,0.1875,0,0.00177164,0.00198453,0,0.000494705,0,0.00225626,0.00095548,0,0.000271739,0.000383222,2,0,3.75494,1.39386,0,4.59487,0,4.85198,0,1.14993,1.84615,1.77461,1.77778,0,1.20674,1.15514,0,3.60563,0,0.939562,0.350032,0,1.23077,2.97212,0.888889,0,0.321374,0.828734,0,0.784708,0,0.193645,0,0,0.666667,1.67481,1
4,0.166667,0,0.0298354,0.0232704,0.00656847,0.0241071,0.00648733,0.00695803,0.0274235,0.019112,0.00573465,0.0247314,0.105263,0,0.00626499,0.00609582,0.00197368,0.00597603,0.000961538,0.00150524,0.0057719,0.00560272,0,0.00549576,0.115385,0,0.00396719,0.000739645,0.00147929,0.000739645,0.000739645,0.00187087,0.00322754,0.000739645,0.00161377,0.00161377,0.166667,0,0.00795409,0.00561678,0,0.0087028,0.00250677,0.000739645,0.00795409,0.00509703,0.00320513,0.00484974,0.912281,0,1.5792,8.24155,1.33421,8.07959,1.3,0.80457,1.78833,7.57488,0,3.40554,0.631579,0,0.787644,1.08529,0,0.686679,0.383577,2.03509,0.725651,1.09921,0,1.13321,0.692308,0,0.498761,0.131685,0,0.0849893,0.295059,2.52941,0.405771,0.145113,0.503496,0.332754,1
5,0.25,0,0.051967,0.0392985,0.00866088,0.024872,0.0166242,0.0128041,0.0179757,0.0120335,0.0116014,0.0240164,0.181818,0,0.00475936,0.00549885,0.00144382,0.00284785,0.00296912,0.00189236,0.00259574,0.00263458,0.000422583,0.00391742,0.117647,0,0.00256045,0.0022398,0,0.00213438,0.000279018,0.00150123,0.000542279,0.00130974,0.0011106,0.00157806,0.166667,0,0.00439333,0.00348825,0.00122858,0.00292911,0.00183043,0.00173465,0.00262107,0.00123222,0.000651042,0.00205685,1.54545,0,1.8588,2.45506,0,1.33428,10.6413,1.26054,4.78671,2.01153,0.380499,2.48244,1.09091,0,1.08332,1.57639,1.1752,0.972258,1.62209,1.09092,0.990335,2.13809,0.649087,1.90458,0.705882,0,0.582805,0.642099,0,0.728676,0.152433,0.865434,0.206893,1.06292,1.70588,0.76722,1
6,0.222222,0,0.0481012,0.0206498,0.0202328,0.0251258,0.00972085,0.0100369,0.0243519,0.00809874,0.0176045,0.031333,0.0909091,0,0.00365924,0.000487805,0.000469043,0.00123124,0,0,0.000469043,0.000487805,0.000469043,0.00123124,0.222222,0,0.0103133,0.00213582,0.00137363,0.00458087,0.00213582,0.00179055,0.00461835,0,0.0036257,0.0067625,0.136364,0,0.00573432,0.00258684,0.00250156,0.00142589,0.00185514,0.00130081,0.00286619,0.000243902,0.00151117,0.00382498,0.409091,0,0.354807,0.228392,0.341463,0.268778,0,0,0.101561,0,0.129366,0.182069,0.666667,0,0.63813,0.188571,0.1875,0.863487,0,0,0.163647,2,0.310384,0.321894,1.62963,0,1.79853,0.825648,0.549107,3.21264,1.1513,1.37649,1.61132,0,2.39926,1.76798,1
7,0.1875,0,0.0541036,0.0228997,0.00721341,0.0258565,0.00474449,0.0153425,0.0284116,0.017969,0.0102183,0.0232197,0.111111,0,0.00594954,0.00230967,0.000317965,0.00503725,0.000317965,0.00161045,0.00419102,0.00230967,0.000317965,0.00325314,0.125,0,0.00579595,0.00493228,0.00145953,0.00123839,0,0.00398504,0.00164221,0.00431309,0.00043573,0.00269421,0.142857,0,0.00528237,0.00430831,0.00170766,0.00170766,0.00170766,0.0033773,0.00186851,0.0013897,0.0037107,0.00112045,0.888889,0,1.0265,0.468277,0.217854,4.06758,0,0.404122,2.55206,0.535504,0.72973,1.20746,0.777778,0,1.1263,0.536097,0.186199,2.94979,0.186199,0.476844,2.24297,1.662,0.0856887,2.90343,0.875,0,1.09723,1.14483,0.854695,0.725196,0,1.17995,0.878888,3.10362,0.117425,2.40458,1
8,0.333333,0,0.0431008,0.0224652,0.00765326,0.0286288,0.00416526,0.0132988,0.0191952,0.0138071,0.0102194,0.0189368,0.222222,0,0.00388088,0.00244647,0.00062404,0.0029385,0.00062404,0.000252016,0.00268649,0.00339162,0.000996064,0.00268649,0.214286,0,0.000954861,0.0041664,0.00194968,0.000289352,0,0.00310867,0.000694444,0.00305033,0.00126826,0,0.142857,0,0.00538679,0.00336217,0.00203683,0.00261919,0.0011928,0.00192522,0.00179144,0.000913784,0.000411184,0.000634766,1.03704,0,4.06434,0.587191,0.320073,10.1555,0,0.0810687,3.86854,1.11189,0.785376,0,1.55556,0,0.720444,0.727648,0.306378,1.12191,0.523172,0.130902,1.49963,3.71163,2.42243,4.23225,1.5,0,0.17726,1.2392,0.957211,0.110474,0,1.61471,0.387646,3.33813,3.08442,0,1
9,0.2,0,0.0377218,0.0279501,0.00822931,0.0245769,0.00554937,0.0139682,0.0214224,0.01903,0.00581295,0.0147034,0.133333,0,0.00768476,0.00126941,0,0.00489845,0,0.00234468,0.0057433,0.00126941,0,0.00248656,0.166667,0,0.00651178,0.00413979,0.000537634,0.00359854,0.000537634,0.000806452,0.00195084,0.00172811,0.00172811,0.00195084,0.153846,0,0.00328876,0.00924999,0.00234846,0.00199693,0.00280929,0.00518485,0.00119397,0.00816881,0,0.00171426,0.8,0,1.18013,0.306638,0,1.36123,0,2.90741,2.94401,0.734568,0,1.27461,0.866667,0,2.33667,0.137234,0,2.45299,0,0.452218,4.81027,0.155398,0,1.45052,1.08333,0,1.98001,0.447545,0.228931,1.80204,0.191378,0.15554,1.63392,0.21155,0,1.13801,1
10,0.333333,0,0.0512209,0.0210158,0.00791123,0.0231028,0.00772192,0.00948966,0.0318939,0.0107961,0.0104031,0.0221163,0.333333,0,0.00555101,0,0,0.00245272,0,0.000236407,0.00466448,0,0.000236407,0.00339835,0.157895,0,0.00454554,0.00433107,0.00055991,0.0025196,0.00055991,0.000839866,0.00223964,0.00227258,0.00143271,0.0017456,0.142857,0,0.00707393,0.0016333,0.00166253,0.00299666,0.00155731,0.000886525,0.00356916,0.00125336,0,0.00185067,2.11111,0,1.2212,0,0,0.973457,0,0.281482,2.08269,0,0.165006,1.9468,2.33333,0,0.784713,0,0,0.818483,0,0.266667,1.30688,0,0,1.83628,1.10526,0,0.642576,2.65173,0.336783,0.8408,0.359536,0.947368,0.627498,1.81318,0,0.943228,1
